benchmark,root_label,display,horizon,n_systems,min_finite_seeds_per_system,max_finite_seeds_per_system,mean_over_system_seed_iqms,log_relative_seed_bootstrap_ci95_low,log_relative_seed_bootstrap_ci95_high,bootstrap_reps
controlled,lista_dense_signsplit_p256_hardinit_basin_partition,LISTA,100,15,15,15,0.04126640912555,0.03473738909108,0.04979831525222,10000
controlled,lista_dense_signsplit_p256_hardinit_basin_partition,LISTA,500,15,15,15,0.1535710197401,0.1184815358257,0.1921814827899,10000
controlled,lista_dense_signsplit_p256_hardinit_basin_partition,LISTA,1000,15,15,15,0.1759882946604,0.1342084237116,0.2222648473029,10000
controlled,lista_blockdiag_signsplit_hardinit_basin_partition,LISTA-BD,100,15,15,15,0.04138184970146,0.03520473754022,0.04722392050815,10000
controlled,lista_blockdiag_signsplit_hardinit_basin_partition,LISTA-BD,500,15,15,15,0.1263407913568,0.09972180138093,0.1518368820982,10000
controlled,lista_blockdiag_signsplit_hardinit_basin_partition,LISTA-BD,1000,15,15,15,0.1465402078647,0.1120638270477,0.1715871804982,10000
controlled,lista_dense_softblock_signsplit_p256_hardinit_basin_partition,LISTA-SB,100,15,15,15,0.03869045914767,0.03446555620416,0.04395860195068,10000
controlled,lista_dense_softblock_signsplit_p256_hardinit_basin_partition,LISTA-SB,500,15,15,15,0.1254875018639,0.097664068422,0.1452606437665,10000
controlled,lista_dense_softblock_signsplit_p256_hardinit_basin_partition,LISTA-SB,1000,15,15,15,0.1502899778826,0.1143007174928,0.1745598492245,10000
controlled,mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",100,15,15,15,0.04770288229888,0.04046006049946,0.05956366798566,10000
controlled,mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",500,15,15,15,0.1495110808048,0.1170789251775,0.209353470291,10000
controlled,mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",1000,15,15,15,0.177887501843,0.1330234247552,0.2462994067899,10000
controlled,mlp_sparse_hardinit_basin_partition_control,Sparse MLP,100,15,15,15,0.04003541605812,0.0331311540606,0.04818540421022,10000
controlled,mlp_sparse_hardinit_basin_partition_control,Sparse MLP,500,15,15,15,0.09551163367729,0.07511304043219,0.127838176548,10000
controlled,mlp_sparse_hardinit_basin_partition_control,Sparse MLP,1000,15,15,15,0.1086899093322,0.08412210031884,0.146023615202,10000
controlled,mlp_zero_sparse_hardinit_basin_partition_control,Dense MLP,100,15,15,15,0.831872426101,0.7499329612899,0.9025592931062,10000
controlled,mlp_zero_sparse_hardinit_basin_partition_control,Dense MLP,500,15,15,15,2.677728059805,2.41105203325,2.893663500064,10000
controlled,mlp_zero_sparse_hardinit_basin_partition_control,Dense MLP,1000,15,15,15,2.90818270191,2.61653335114,3.138140408736,10000
dysts_dt30,lista,LISTA,100,10,15,15,0.000265034274384,0.0002383176124568,0.0003407492851123,10000
dysts_dt30,lista,LISTA,500,10,15,15,0.00435883113985,0.00388926995287,0.005648013570855,10000
dysts_dt30,lista,LISTA,1000,10,15,15,0.01977749887802,0.01711348932513,0.02573634182955,10000
dysts_dt30,lista,LISTA,1500,10,15,15,0.04872757433914,0.04071702939277,0.06358955620815,10000
dysts_dt30,lista,LISTA,2000,10,15,15,0.09990608915169,0.08251229689809,0.1461026617384,10000
dysts_dt30,lista,LISTA,3000,10,15,15,0.2443076325684,0.2084925303165,0.4156310646623,10000
dysts_dt30,lista,LISTA,4000,10,15,15,0.4654602565078,0.4117384596144,0.6285548773004,10000
dysts_dt30,lista,LISTA,5000,10,15,15,0.7095478496618,0.6470288825804,0.9158366953203,10000
dysts_dt30,lista_bd,LISTA-BD,100,10,15,15,0.0003693338288333,0.0003310936679817,0.0004876711020753,10000
dysts_dt30,lista_bd,LISTA-BD,500,10,15,15,0.0071455412706,0.00642455214832,0.009517042684633,10000
dysts_dt30,lista_bd,LISTA-BD,1000,10,15,15,0.02642479148279,0.02346416852253,0.03603774281077,10000
dysts_dt30,lista_bd,LISTA-BD,1500,10,15,15,0.06725882453482,0.0592534594255,0.09112796033059,10000
dysts_dt30,lista_bd,LISTA-BD,2000,10,15,15,0.1224366704209,0.108819813326,0.1658518000473,10000
dysts_dt30,lista_bd,LISTA-BD,3000,10,15,15,0.2686777326071,0.2414664091269,0.4230840710025,10000
dysts_dt30,lista_bd,LISTA-BD,4000,10,15,15,0.4919889658483,0.4458686749635,0.6380305432193,10000
dysts_dt30,lista_bd,LISTA-BD,5000,10,15,15,0.747203662619,0.6841697837361,1.017421338409,10000
dysts_dt30,lista_sb,LISTA-SB,100,10,15,15,0.0005616298978566,0.0004651880509699,0.0009509034605478,10000
dysts_dt30,lista_sb,LISTA-SB,500,10,15,15,0.01047755538667,0.008605142219376,0.02056365127527,10000
dysts_dt30,lista_sb,LISTA-SB,1000,10,15,15,0.04739810650547,0.03870010895424,0.1152999211134,10000
dysts_dt30,lista_sb,LISTA-SB,1500,10,15,15,0.1091719244296,0.0894955570284,0.4126979679857,10000
dysts_dt30,lista_sb,LISTA-SB,2000,10,15,15,0.1816427939054,0.1490986063854,1.084980239009,10000
dysts_dt30,lista_sb,LISTA-SB,3000,10,15,15,0.4303226988763,0.3584034255242,6.19910292649,10000
dysts_dt30,lista_sb,LISTA-SB,4000,10,15,15,0.7436630556153,0.6371136626053,21.77571199329,10000
dysts_dt30,lista_sb,LISTA-SB,5000,10,15,15,1.057746553421,0.9264897018577,93.70170543569,10000
dysts_dt30,sparse_mlp_bd,"Sparse MLP, BD",100,10,15,15,0.0005060421750386,0.0004176681310061,0.0007236470144378,10000
dysts_dt30,sparse_mlp_bd,"Sparse MLP, BD",500,10,15,15,0.01068885470805,0.009065228054018,0.01498411025821,10000
dysts_dt30,sparse_mlp_bd,"Sparse MLP, BD",1000,10,15,15,0.03409620132685,0.02942247260981,0.04569268329221,10000
dysts_dt30,sparse_mlp_bd,"Sparse MLP, BD",1500,10,15,15,0.07368761664256,0.06309044097667,0.09541647985257,10000
dysts_dt30,sparse_mlp_bd,"Sparse MLP, BD",2000,10,15,15,0.1299205770302,0.1125317665164,0.1618803261182,10000
dysts_dt30,sparse_mlp_bd,"Sparse MLP, BD",3000,10,15,15,0.2544364724205,0.2289344926738,0.2981617568176,10000
dysts_dt30,sparse_mlp_bd,"Sparse MLP, BD",4000,10,15,15,0.4407620619982,0.4049225306247,0.5024196146321,10000
dysts_dt30,sparse_mlp_bd,"Sparse MLP, BD",5000,10,15,15,0.6653254480412,0.6208638712786,0.7430795886564,10000
dysts_dt30,sparse_mlp,Sparse MLP,100,10,15,15,0.0002375875155849,0.0002179578970481,0.0003247119792352,10000
dysts_dt30,sparse_mlp,Sparse MLP,500,10,15,15,0.004414922568119,0.003935119106313,0.005941967696493,10000
dysts_dt30,sparse_mlp,Sparse MLP,1000,10,15,15,0.01876651440463,0.01655618989702,0.02567644856262,10000
dysts_dt30,sparse_mlp,Sparse MLP,1500,10,15,15,0.06373515156512,0.05576780869485,0.08188144194514,10000
dysts_dt30,sparse_mlp,Sparse MLP,2000,10,15,15,0.1217907555712,0.1058608292372,0.152914865008,10000
dysts_dt30,sparse_mlp,Sparse MLP,3000,10,15,15,0.2808302256382,0.2470063009334,0.3363395463996,10000
dysts_dt30,sparse_mlp,Sparse MLP,4000,10,15,15,0.5062896289345,0.4489180984065,0.5716181822073,10000
dysts_dt30,sparse_mlp,Sparse MLP,5000,10,15,15,0.7738143172115,0.6943482810226,0.8584841546017,10000
dysts_dt30,dense_mlp_tanh,Dense MLP,100,10,15,15,0.001247269390296,0.001015617817884,0.002155989883135,10000
dysts_dt30,dense_mlp_tanh,Dense MLP,500,10,15,15,0.01493951874759,0.01192975272609,0.01931172513392,10000
dysts_dt30,dense_mlp_tanh,Dense MLP,1000,10,15,15,0.05292289087859,0.04306410243518,0.06548722561646,10000
